Index,name,id,age
1,WORLD,900,28.5
2,More developed regions,901,39.9
3,Less developed regions,902,26.4
4,Least developed countries,941,19.3
5,Less developed regions; excluding least developed countries,934,27.8
6,Less developed regions; excluding China,948,24.2
7,Sub-Saharan Africa,947,18.1
8,AFRICA,903,19.2
9,Eastern Africa,910,17.5
10,Burundi,108,17.7
11,Comoros,174,19.1
12,Djibouti,262,22
13,Eritrea,232,18.3
14,Ethiopia,231,17.5
15,Kenya,404,18.5
16,Madagascar,450,18
17,Malawi,454,16.9
18,Mauritius,480,33.3
19,Mayotte,175,17.3
20,Mozambique,508,17.2
21,Réunion,638,29.9
22,Rwanda,646,17.8
23,Seychelles,690,31.6
24,Somalia,706,16.1
25,South Sudan,728,18.3
26,Uganda,800,15.5
27,United Republic of Tanzania,834,17.4
28,Zambia,894,16.5
29,Zimbabwe,716,18.5
30,Middle Africa,911,17.1
31,Angola,24,16
32,Cameroon,120,18
33,Central African Republic,140,19.3
34,Chad,148,15.5
35,Congo,178,18.9
36,Democratic Republic of the Congo,180,17.1
37,Equatorial Guinea,226,20.2
38,Gabon,266,20.5
39,Sao Tome and Principe,678,19
40,Northern Africa,912,24.3
41,Algeria,12,26
42,Egypt,818,24.4
43,Libya,434,25.6
44,Morocco,504,26.2
45,Sudan,729,18.7
46,Tunisia,788,29
47,Western Sahara,732,27.2
48,Southern Africa,913,24.6
49,Botswana,72,22
50,Lesotho,426,20.1
51,Namibia,516,20.3
52,South Africa,710,25.2
53,Swaziland,748,19.3
54,Western Africa,914,18
55,Benin,204,18.1
56,Burkina Faso,854,16.8
57,Cape Verde,132,22.7
58,Côte d'Ivoire,384,18.8
59,Gambia,270,16.9
60,Ghana,288,20.2
61,Guinea,324,18.3
62,Guinea-Bissau,624,18.8
63,Liberia,430,18.3
64,Mali,466,16.5
65,Mauritania,478,19.5
66,Niger,562,15.1
67,Nigeria,566,17.9
68,Senegal,686,17.9
69,Sierra Leone,694,18.8
70,Togo,768,18.7
71,ASIA,935,28.8
72,Eastern Asia,906,35.5
73,China,156,34.6
74,China; Hong Kong SAR,344,41.1
75,China; Macao SAR,446,36.5
76,Dem. People's Republic of Korea,408,33.1
77,Japan,392,44.9
78,Mongolia,496,25.7
79,Republic of Korea,410,37.8
80,Other non-specified areas,158,37.1
81,South-Central Asia,921,24.8
82,Central Asia,5500,24.8
83,Kazakhstan,398,28.9
84,Kyrgyzstan,417,23.8
85,Tajikistan,762,21.2
86,Turkmenistan,795,24.5
87,Uzbekistan,860,24.1
88,Southern Asia,5501,24.8
89,Afghanistan,4,15.6
90,Bangladesh,50,24
91,Bhutan,64,24.4
92,India,356,25.5
93,Iran (Islamic Republic of),364,27
94,Maldives,462,23.6
95,Nepal,524,21.3
96,Pakistan,586,21.6
97,Sri Lanka,144,30.5
98,South-Eastern Asia,920,27.2
99,Brunei Darussalam,96,29.5
100,Cambodia,116,23.5
101,Indonesia,360,26.9
102,Lao People's Democratic Republic,418,20.3
103,Malaysia,458,26.1
104,Myanmar,104,27.8
105,Philippines,608,22.3
106,Singapore,702,37.3
107,Thailand,764,35.4
108,Timor-Leste,626,16.1
109,Viet Nam,704,28.5
110,Western Asia,922,25.1
111,Armenia,51,31.6
112,Azerbaijan,31,28.6
113,Bahrain,48,30
114,Cyprus,196,34.2
115,Georgia,268,37
116,Iraq,368,19.1
117,Israel,376,30.1
118,Jordan,400,22.5
119,Kuwait,414,28.4
120,Lebanon,422,28.5
121,Oman,512,25.1
122,Qatar,634,31.6
123,Saudi Arabia,682,26.1
124,State of Palestine,275,18.2
125,Syrian Arab Republic,760,21.9
126,Turkey,792,28.3
127,United Arab Emirates,784,28
128,Yemen,887,18.2
129,EUROPE,908,40.3
130,Eastern Europe,923,38.5
131,Belarus,112,38.9
132,Bulgaria,100,42.4
133,Czech Republic,203,39.5
134,Hungary,348,39.9
135,Poland,616,38
136,Republic of Moldova,498,35.2
137,Romania,642,38.5
138,Russian Federation,643,38
139,Slovakia,703,37.2
140,Ukraine,804,39.4
141,Northern Europe,924,39.7
142,Channel Islands,830,41.1
143,Denmark,208,40.6
144,Estonia,233,40.5
145,Finland,246,42
146,Iceland,352,34.9
147,Ireland,372,34.3
148,Latvia,428,41.2
149,Lithuania,440,38.7
150,Norway,578,38.7
151,Sweden,752,40.7
152,United Kingdom,826,39.8
153,Southern Europe,925,41.3
154,Albania,8,31.9
155,Bosnia and Herzegovina,70,38.6
156,Croatia,191,41.9
157,Greece,300,41.8
158,Italy,380,43.3
159,Malta,470,40.2
160,Montenegro,499,36.3
161,Portugal,620,41
162,Serbia,688,37.8
163,Slovenia,705,41.5
164,Spain,724,40.2
165,TFYR Macedonia,807,36.1
166,Western Europe,926,42.3
167,Austria,40,41.8
168,Belgium,56,41.1
169,France,250,40
170,Germany,276,44.3
171,Luxembourg,442,38.9
172,Netherlands,528,40.8
173,Switzerland,756,41.6
174,LATIN AMERICA AND THE CARIBBEAN,904,27.3
175,Caribbean,915,28.9
176,Antigua and Barbuda,28,29.8
177,Aruba,533,38.5
178,Bahamas,44,30.9
179,Barbados,52,36.2
180,Cuba,192,38.4
181,Curaçao,531,40
182,Dominican Republic,214,25
183,Grenada,308,25
184,Guadeloupe,312,36.8
185,Haiti,332,21.5
186,Jamaica,388,27
187,Martinique,474,40.3
188,Puerto Rico,630,34.7
189,Saint Lucia,662,29.5
190,Saint Vincent and the Grenadines,670,27.9
191,Trinidad and Tobago,780,31.9
192,United States Virgin Islands,850,39.3
193,Central America,916,24.8
194,Belize,84,22
195,Costa Rica,188,28.4
196,El Salvador,222,23.1
197,Guatemala,320,18.8
198,Honduras,340,20.9
199,Mexico,484,26
200,Nicaragua,558,22
201,Panama,591,27.1
202,South America,931,28.1
203,Argentina,32,30.3
204,Bolivia (Plurinational State of),68,21.7
205,Brazil,76,29
206,Chile,152,32.1
207,Colombia,170,26.8
208,Ecuador,218,25.2
209,French Guiana,254,24.3
210,Guyana,328,21.9
211,Paraguay,600,23.1
212,Peru,604,25.5
213,Suriname,740,27.5
214,Uruguay,858,33.7
215,Venezuela (Bolivarian Republic of),862,26.1
216,NORTHERN AMERICA,905,37.3
217,Canada,124,39.7
218,United States of America,840,37.1
219,OCEANIA,909,32.2
220,Australia/New Zealand,927,36.8
221,Australia,36,36.8
222,New Zealand,554,36.6
223,Melanesia,928,21.3
224,Fiji,242,26.4
225,New Caledonia,540,32.4
226,Papua New Guinea,598,20.4
227,Solomon Islands,90,19.5
228,Vanuatu,548,21.2
229,Micronesia,954,25.7
230,Guam,316,29.2
231,Kiribati,296,22.5
232,Micronesia (Fed. States of),583,20.2
233,Polynesia,957,25.2
234,French Polynesia,258,30
235,Samoa,882,20.8
236,Tonga,776,21.3
