Index,name,id,age
1,WORLD,900,27.4
2,More developed regions,901,38.7
3,Less developed regions,902,25.1
4,Least developed countries,941,18.8
5,Less developed regions; excluding least developed countries,934,26.4
6,Less developed regions; excluding China,948,23.1
7,Sub-Saharan Africa,947,17.9
8,AFRICA,903,18.9
9,Eastern Africa,910,17.2
10,Burundi,108,16.9
11,Comoros,174,19
12,Djibouti,262,20.3
13,Eritrea,232,17.7
14,Ethiopia,231,16.8
15,Kenya,404,18.1
16,Madagascar,450,17.5
17,Malawi,454,16.8
18,Mauritius,480,30.8
19,Mayotte,175,19
20,Mozambique,508,17.5
21,Réunion,638,29.1
22,Rwanda,646,17.4
23,Seychelles,690,29.4
24,Somalia,706,16.1
25,South Sudan,728,17.8
26,Uganda,800,15.3
27,United Republic of Tanzania,834,17.5
28,Zambia,894,16.5
29,Zimbabwe,716,18.3
30,Middle Africa,911,16.9
31,Angola,24,16.1
32,Cameroon,120,17.5
33,Central African Republic,140,18.7
34,Chad,148,15.4
35,Congo,178,18.8
36,Democratic Republic of the Congo,180,16.8
37,Equatorial Guinea,226,19.5
38,Gabon,266,19.9
39,Sao Tome and Principe,678,18.4
40,Northern Africa,912,22.9
41,Algeria,12,24
42,Egypt,818,23.2
43,Libya,434,23.9
44,Morocco,504,24.2
45,Sudan,729,18.2
46,Tunisia,788,26.9
47,Western Sahara,732,25
48,Southern Africa,913,23.6
49,Botswana,72,21.1
50,Lesotho,426,19.3
51,Namibia,516,19.6
52,South Africa,710,24.2
53,Swaziland,748,18.1
54,Western Africa,914,17.9
55,Benin,204,17.6
56,Burkina Faso,854,16.6
57,Cape Verde,132,20.3
58,Côte d'Ivoire,384,18.7
59,Gambia,270,16.9
60,Ghana,288,19.5
61,Guinea,324,18
62,Guinea-Bissau,624,18.4
63,Liberia,430,18.2
64,Mali,466,16.7
65,Mauritania,478,19
66,Niger,562,15.5
67,Nigeria,566,18
68,Senegal,686,17.6
69,Sierra Leone,694,18.4
70,Togo,768,18.2
71,ASIA,935,27.3
72,Eastern Asia,906,33
73,China,156,32.2
74,China; Hong Kong SAR,344,39.2
75,China; Macao SAR,446,35.1
76,Dem. People's Republic of Korea,408,31.6
77,Japan,392,43
78,Mongolia,496,24
79,Republic of Korea,410,35
80,Other non-specified areas,158,34.4
81,South-Central Asia,921,23.4
82,Central Asia,5500,23.7
83,Kazakhstan,398,28.5
84,Kyrgyzstan,417,23.6
85,Tajikistan,762,19.6
86,Turkmenistan,795,22.9
87,Uzbekistan,860,22.5
88,Southern Asia,5501,23.4
89,Afghanistan,4,15.3
90,Bangladesh,50,22.4
91,Bhutan,64,21.9
92,India,356,24.1
93,Iran (Islamic Republic of),364,24.2
94,Maldives,462,21.1
95,Nepal,524,20.2
96,Pakistan,586,20.1
97,Sri Lanka,144,29
98,South-Eastern Asia,920,25.6
99,Brunei Darussalam,96,27.6
100,Cambodia,116,20.8
101,Indonesia,360,25.8
102,Lao People's Democratic Republic,418,19
103,Malaysia,458,25.1
104,Myanmar,104,25.8
105,Philippines,608,21.2
106,Singapore,702,35.8
107,Thailand,764,32
108,Timor-Leste,626,15.9
109,Viet Nam,704,26.4
110,Western Asia,922,23.4
111,Armenia,51,30.9
112,Azerbaijan,31,27.1
113,Bahrain,48,27
114,Cyprus,196,32.9
115,Georgia,268,35.8
116,Iraq,368,18.7
117,Israel,376,28.7
118,Jordan,400,20.7
119,Kuwait,414,28.6
120,Lebanon,422,26.5
121,Oman,512,21.7
122,Qatar,634,30.7
123,Saudi Arabia,682,23.7
124,State of Palestine,275,17
125,Syrian Arab Republic,760,19.9
126,Turkey,792,26.5
127,United Arab Emirates,784,28.9
128,Yemen,887,16.8
129,EUROPE,908,39
130,Eastern Europe,923,37.6
131,Belarus,112,38
132,Bulgaria,100,41.1
133,Czech Republic,203,38.8
134,Hungary,348,39.1
135,Poland,616,36.6
136,Republic of Moldova,498,34.1
137,Romania,642,36.8
138,Russian Federation,643,37.3
139,Slovakia,703,35.4
140,Ukraine,804,38.8
141,Northern Europe,924,38.7
142,Channel Islands,830,39.6
143,Denmark,208,39.5
144,Estonia,233,39.3
145,Finland,246,40.9
146,Iceland,352,34.3
147,Ireland,372,33.5
148,Latvia,428,39.9
149,Lithuania,440,37.7
150,Norway,578,37.9
151,Sweden,752,40.2
152,United Kingdom,826,38.7
153,Southern Europe,925,39.7
154,Albania,8,29.2
155,Bosnia and Herzegovina,70,37.3
156,Croatia,191,40.5
157,Greece,300,40
158,Italy,380,41.7
159,Malta,470,38.4
160,Montenegro,499,35.2
161,Portugal,620,39.3
162,Serbia,688,36.1
163,Slovenia,705,40.1
164,Spain,724,38.8
165,TFYR Macedonia,807,34.4
166,Western Europe,926,40.5
167,Austria,40,39.9
168,Belgium,56,40.4
169,France,250,38.8
170,Germany,276,42
171,Luxembourg,442,38.5
172,Netherlands,528,38.9
173,Switzerland,756,40.1
174,LATIN AMERICA AND THE CARIBBEAN,904,25.7
175,Caribbean,915,27.7
176,Antigua and Barbuda,28,29.4
177,Aruba,533,36.2
178,Bahamas,44,29.1
179,Barbados,52,34.8
180,Cuba,192,35.5
181,Curaçao,531,38
182,Dominican Republic,214,23.7
183,Grenada,308,23.3
184,Guadeloupe,312,35
185,Haiti,332,20.3
186,Jamaica,388,26.1
187,Martinique,474,37.3
188,Puerto Rico,630,33.4
189,Saint Lucia,662,25.8
190,Saint Vincent and the Grenadines,670,26.3
191,Trinidad and Tobago,780,29.9
192,United States Virgin Islands,850,36.5
193,Central America,916,23.4
194,Belize,84,20.6
195,Costa Rica,188,26.4
196,El Salvador,222,21.8
197,Guatemala,320,18.2
198,Honduras,340,19.5
199,Mexico,484,24.4
200,Nicaragua,558,20.4
201,Panama,591,25.7
202,South America,931,26.4
203,Argentina,32,28.9
204,Bolivia (Plurinational State of),68,20.7
205,Brazil,76,27
206,Chile,152,30.5
207,Colombia,170,25.2
208,Ecuador,218,24
209,French Guiana,254,23.7
210,Guyana,328,22.6
211,Paraguay,600,21.7
212,Peru,604,24.2
213,Suriname,740,26.1
214,Uruguay,858,32.7
215,Venezuela (Bolivarian Republic of),862,24.6
216,NORTHERN AMERICA,905,36.5
217,Canada,124,38.6
218,United States of America,840,36.2
219,OCEANIA,909,31.8
220,Australia/New Zealand,927,36.3
221,Australia,36,36.5
222,New Zealand,554,35.5
223,Melanesia,928,20.7
224,Fiji,242,25.3
225,New Caledonia,540,29.1
