Index,name,id,age
1,WORLD,900,25.1
2,More developed regions,901,35.8
3,Less developed regions,902,22.8
4,Least developed countries,941,17.9
5,Less developed regions; excluding least developed countries,934,23.6
6,Less developed regions; excluding China,948,21.1
7,Sub-Saharan Africa,947,17.5
8,AFRICA,903,18
9,Eastern Africa,910,16.9
10,Burundi,108,15.3
11,Comoros,174,18
12,Djibouti,262,18
13,Eritrea,232,15.2
14,Ethiopia,231,16.7
15,Kenya,404,16.6
16,Madagascar,450,17.4
17,Malawi,454,17.4
18,Mauritius,480,26.8
19,Mayotte,175,17.2
20,Mozambique,508,17.7
21,Réunion,638,26.1
22,Rwanda,646,17.6
23,Seychelles,690,25.4
24,Somalia,706,17.1
25,South Sudan,728,17.7
26,Uganda,800,15.6
27,United Republic of Tanzania,834,17.1
28,Zambia,894,17
29,Zimbabwe,716,17.4
30,Middle Africa,911,16.8
31,Angola,24,16.1
32,Cameroon,120,16.8
33,Central African Republic,140,18.4
34,Chad,148,15.8
35,Congo,178,18.4
36,Democratic Republic of the Congo,180,16.8
37,Equatorial Guinea,226,21.1
38,Gabon,266,19.2
39,Sao Tome and Principe,678,16.2
40,Northern Africa,912,20
41,Algeria,12,19.3
42,Egypt,818,21.1
43,Libya,434,20.2
44,Morocco,504,20.5
45,Sudan,729,17.5
46,Tunisia,788,22.6
47,Western Sahara,732,21.4
48,Southern Africa,913,21.3
49,Botswana,72,18.6
50,Lesotho,426,18.5
51,Namibia,516,18.6
52,South Africa,710,21.7
53,Swaziland,748,16.1
54,Western Africa,914,17.6
55,Benin,204,17.2
56,Burkina Faso,854,16.3
57,Cape Verde,132,17.5
58,Côte d'Ivoire,384,18.3
59,Gambia,270,16.6
60,Ghana,288,18.4
61,Guinea,324,17.9
62,Guinea-Bissau,624,17.7
63,Liberia,430,17.8
64,Mali,466,16.7
65,Mauritania,478,17.8
66,Niger,562,16.2
67,Nigeria,566,17.7
68,Senegal,686,16.8
69,Sierra Leone,694,17.8
70,Togo,768,16.9
71,ASIA,935,24.3
72,Eastern Asia,906,27.8
73,China,156,26.9
74,China; Hong Kong SAR,344,33.6
75,China; Macao SAR,446,31
76,Dem. People's Republic of Korea,408,27.4
77,Japan,392,39.6
78,Mongolia,496,20.3
79,Republic of Korea,410,29.5
80,Other non-specified areas,158,29.5
81,South-Central Asia,921,21.2
82,Central Asia,5500,21.6
83,Kazakhstan,398,27
84,Kyrgyzstan,417,21.5
85,Tajikistan,762,17.9
86,Turkmenistan,795,20.2
87,Uzbekistan,860,19.7
88,Southern Asia,5501,21.2
89,Afghanistan,4,15.9
