Index,name,id,age
1,WORLD,900,24
2,More developed regions,901,34.4
3,Less developed regions,902,21.7
4,Least developed countries,941,17.6
5,Less developed regions; excluding least developed countries,934,22.3
6,Less developed regions; excluding China,948,20.3
7,Sub-Saharan Africa,947,17.2
8,AFRICA,903,17.6
9,Eastern Africa,910,16.6
10,Burundi,108,16.2
11,Comoros,174,17.3
12,Djibouti,262,17.4
13,Eritrea,232,16.6
14,Ethiopia,231,16.8
15,Kenya,404,15.5
16,Madagascar,450,17.2
17,Malawi,454,17.1
18,Mauritius,480,24.9
19,Mayotte,175,16.5
20,Mozambique,508,16.6
21,Réunion,638,24
22,Rwanda,646,15.1
23,Seychelles,690,22.8
24,Somalia,706,17.5
25,South Sudan,728,17.8
26,Uganda,800,16
27,United Republic of Tanzania,834,16.9
28,Zambia,894,16.8
29,Zimbabwe,716,16.8
30,Middle Africa,911,17
31,Angola,24,16.2
32,Cameroon,120,16.8
33,Central African Republic,140,18.3
34,Chad,148,16.2
35,Congo,178,17.9
36,Democratic Republic of the Congo,180,17.2
37,Equatorial Guinea,226,21.8
38,Gabon,266,19.5
39,Sao Tome and Principe,678,15.9
40,Northern Africa,912,19.1
41,Algeria,12,17.8
42,Egypt,818,20.4
43,Libya,434,18.7
44,Morocco,504,19.3
45,Sudan,729,17.1
46,Tunisia,788,20.9
47,Western Sahara,732,21.2
48,Southern Africa,913,19.8
49,Botswana,72,17.4
50,Lesotho,426,17.7
51,Namibia,516,17.8
52,South Africa,710,20.1
53,Swaziland,748,15.9
54,Western Africa,914,17.3
55,Benin,204,16.9
56,Burkina Faso,854,16.3
57,Cape Verde,132,17.1
58,Côte d'Ivoire,384,17.7
59,Gambia,270,17
60,Ghana,288,17.8
61,Guinea,324,18.2
62,Guinea-Bissau,624,17.3
63,Liberia,430,17.4
64,Mali,466,16.7
65,Mauritania,478,17.5
66,Niger,562,16.2
67,Nigeria,566,17.5
68,Senegal,686,16.3
69,Sierra Leone,694,17.5
70,Togo,768,16.8
71,ASIA,935,22.9
72,Eastern Asia,906,25.7
73,China,156,24.8
74,China; Hong Kong SAR,344,30.9
75,China; Macao SAR,446,28.9
76,Dem. People's Republic of Korea,408,25.1
77,Japan,392,37.4
78,Mongolia,496,19.3
79,Republic of Korea,410,27
80,Other non-specified areas,158,27.1
81,South-Central Asia,921,20.5
82,Central Asia,5500,21.4
83,Kazakhstan,398,26
84,Kyrgyzstan,417,21.6
85,Tajikistan,762,18.1
86,Turkmenistan,795,19.7
87,Uzbekistan,860,19.4
88,Southern Asia,5501,20.5
89,Afghanistan,4,15.6
90,Bangladesh,50,18.7
91,Bhutan,64,18.1
